UART Data,,
10325388,31,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E4 00 25 00 00 5A A5 00 00 00 00 00 00 00 8B 00 1E 00 89 00 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 F2 00 00 00 00 00 00 00 33 00 33 00 81 00 41 02 2B 02 0B 00 00 00 00 00 33 00 33 00 7E 00 40 02 2A 02 0B 00 00 00 00 01 F4 00 0B 01 9D 01 48 00 00 00 00 00 00 00 00 00 00 00 00 00 7E 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 03 00 00 00 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 39 12 
10450228,32,05 03 03 F3 00 0E 35 FD 
10553384,33,05 03 1C 00 01 01 F9 00 00 00 00 00 10 00 81 01 F8 00 0B 00 00 00 00 5A A5 01 9D 00 EA 01 48 88 9D 
10962200,34,05 10 03 F3 00 02 04 00 01 01 F4 EC E9 
11002912,35,05 10 03 F3 00 02 B0 3B 
11453400,36,06 03 03 F3 00 0E 35 CE 
11955000,37,03 03 08 33 00 16 37 89 
12076996,38,03 03 2C 02 0B 00 00 00 00 00 33 00 6E 00 91 01 A1 00 40 00 81 02 2B 00 00 00 78 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 97 12 
12479480,39,03 10 07 CF 00 05 0A 00 33 00 03 00 00 00 00 08 50 5C 58 
12516384,40,03 10 07 CF 00 05 30 A3 
12958196,41,04 03 08 33 00 16 36 3E 
13080248,42,04 03 2C 02 0B 00 00 00 00 00 33 00 6E 00 91 01 A0 00 3F 00 7E 02 2A 00 00 00 77 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 E8 E5 
13482676,43,04 10 07 CF 00 05 0A 00 33 00 03 00 00 00 00 08 50 EE 69 
13519008,44,04 10 07 CF 00 05 31 14 
14063324,45,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0B 00 1B 00 0D 00 2A B2 F7 
14462968,46,02 03 0B B9 00 15 57 F7 
15341324,47,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 01 00 01 02 26 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 01 F6 02 2D 00 00 01 0B 00 A1 FF E5 00 00 00 00 00 A0 FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AC 00 B1 00 00 00 00 02 C7 02 C2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 30 00 00 00 00 00 00 02 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EC 00 DE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3C 00 3C 00 00 00 A5 F2 5A 
15842948,48,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E4 00 25 00 00 5A A5 00 00 00 00 00 00 00 8B 00 1E 00 88 00 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 F8 00 00 00 00 00 00 00 33 00 33 00 81 00 41 02 2B 02 0B 00 00 00 00 00 33 00 33 00 7E 00 40 02 2A 02 0B 00 00 00 00 01 F4 00 0B 01 9D 01 48 00 00 00 00 00 00 00 00 00 00 00 00 00 81 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 03 00 00 00 00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EF 03 
15967736,49,05 03 03 F3 00 0E 35 FD 
